Zip_Code,City,County
84001,Altamont,Duchesne
84002,Altonah,Duchesne
84003,American Fork,UT
84004,Alpine,UT
84005,Eagle Mountain,UT
84006,Bingham Canyon,SL
84007,Bluebell,Duchesne
84008,Bonanza,Uintah
84010,Bountiful,DA
84011,Bountiful,DA
84013,Cedar Valley,UT
84014,Centerville,DA
84015,Clearfield,DA
84016,Clearfield,DA
84017,Coalville,Summit
84018,Croydon,Morgan
84020,Draper,SL
84021,Duchesne,Duchesne
84022,Dugway,Tooele
84023,Dutch John,Daggett
84024,Echo,Summit
84025,Farmington,DA
84026,Fort Duchesne,Uintah
84027,Fruitland,Duchesne
84028,Garden City,Rich
84029,Grantsville,Tooele
84031,Hanna,Duchesne
84032,HeBE City,Wasatch
84033,Henefer,Summit
84034,Ibapah,Tooele
84035,Jensen,Uintah
84036,Kamas,Summit
84037,Kaysville,DA
84038,Laketown,Rich
84039,Lapoint,Uintah
84040,Layton,DA
84041,Layton,DA
84042,Lindon,UT
84043,Lehi,UT
84044,Magna,SL
84045,Saratoga Springs,UT
84046,Manila,Daggett
84047,Midvale,SL
84049,Midway,Wasatch
84050,Morgan,Morgan
84051,Mountain Home,Duchesne
84052,Myton,Duchesne
84053,Neola,Duchesne
84054,North Salt Lake,DA
84055,Oakley,Summit
84056,HAFB,DA
84057,Orem,UT
84058,Orem (UVU Main),UT
84059,Orem,UT
84060,Park City,Summit
84061,Peoa,Summit
84062,Pleasant Grove,UT
84063,Randlett,Uintah
84064,Randolph,Rich
84065,Riverton,SL
84066,Roosevelt,Duchesne
84067,Roy,WE
84068,Park City,Summit
84069,Rush Valley,Tooele
84070,Sandy,SL
84071,Stockton,Tooele
84072,Tabiona,Duchesne
84073,Talmage,Duchesne
84074,Tooele,Tooele
84075,Syracuse,DA
84076,Tridell,Uintah
84078,Vernal,Uintah
84079,Vernal,Uintah
84080,Vernon,Tooele
84082,Wallsburg,Wasatch
84083,Wendover,Tooele
84084,West Jordan,SL
84085,Whiterocks,Uintah
84086,Woodruff,Rich
84087,Woods Cross,DA
84088,West Jordan,SL
84089,Clearfield,DA
84090,Sandy,SL
84091,Sandy,SL
84092,Sandy,SL
84093,Sandy,SL
84094,Sandy,SL
84095,South Jordan,SL
84096,Herriman,SL
84097,Orem,UT
84098,Park City,Summit
84101,SLC,SL
84102,SLC,SL
84103,SLC,SL
84104,SLC,SL
84105,SLC,SL
84106,SLC,SL
84107,SLC,SL
84108,SLC (south of UofU),SL
84109,SLC,SL
84110,SLC,SL
84111,SLC,SL
84112,SLC (UofU),SL
84113,SLC,SL
84114,SLC,SL
84115,SLC,SL
84116,SLC,SL
84117,SLC,SL
84118,SLC,SL
84119,SLC,SL
84120,SLC,SL
84121,SLC,SL
84122,SLC,SL
84123,SLC,SL
84124,SLC,SL
84125,SLC,SL
84126,SLC,SL
84127,SLC,SL
84128,SLC,SL
84129,Taylorsville (SLCC Main),SL
84130,SLC,SL
84131,SLC,SL
84132,SLC,SL
84133,SLC,SL
84134,SLC,SL
84136,SLC,SL
84138,SLC,SL
84139,SLC,SL
84141,SLC,SL
84143,SLC,SL
84144,SLC,SL
84145,SLC,SL
84147,SLC,SL
84148,SLC,SL
84150,SLC,SL
84151,SLC,SL
84152,SLC,SL
84157,SLC,SL
84158,SLC,SL
84165,SLC,SL
84170,SLC,SL
84171,SLC,SL
84180,SLC,SL
84184,SLC,SL
84189,SLC,SL
84190,SLC,SL
84199,SLC,SL
84201,Ogden,WE
84244,Ogden,WE
84301,Bear River City,BE
84302,Brigham City,BE
84304,Cache Junction,Cache
84305,Clarkston,Cache
84306,Collinston,BE
84307,Corinne,BE
84308,Cornish,Cache
84309,Deweyville,BE
84310,Eden,WE
84311,Fielding,BE
84312,Garland,BE
84313,Grouse Creek,BE
84314,Honeyville,BE
84315,Hooper,WE
84316,Howell,BE
84317,Huntsville,WE
84318,Hyde Park,Cache
84319,Hyrum,Cache
84320,Lewiston,Cache
84321,Logan,Cache
84322,Logan,Cache
84323,Logan,Cache
84324,Mantua,BE
84325,Mendon,Cache
84326,Millville,Cache
84327,Newton,Cache
84328,Paradise,Cache
84329,Park Valley,BE
84330,Plymouth,BE
84331,Portage,BE
84332,Providence,Cache
84333,Richmond,Cache
84334,Riverside,BE
84335,Smithfield,Cache
84336,Snowville,BE
84337,Tremonton,BE
84338,Trenton,Cache
84339,Wellsville,Cache
84340,Willard,BE
84341,Logan,Cache
84401,Ogden,WE
84402,Ogden,WE
84403,Ogden,WE
84404,Ogden,WE
84405,Ogden,WE
84407,Ogden,WE
84408,Ogden,WE
84409,Ogden,WE
84412,Ogden,WE
84414,Ogden,WE
84415,Ogden,WE
84501,Price,Carbon
84510,Aneth,San Juan
84511,Blanding,San Juan
84512,Bluff,San Juan
84513,Castle Dale,Emery
84515,Cisco,Grand
84516,Clawson,Emery
84518,Cleveland,Emery
84520,East Carbon,Carbon
84521,Elmo,Emery
84522,Emery,Emery
84523,Ferron,Emery
84525,Green River,Emery
84526,Helper,Carbon
84528,Huntington,Emery
84529,Kenilworth,Carbon
84530,La Sal,San Juan
84531,Mexican Hat,San Juan
84532,Moab,Grand
84533,Lake Powell,San Juan
84534,Montezuma Creek,San Juan
84535,Monticello,San Juan
84536,Monument Valley,San Juan
84537,Orangeville,Emery
84539,Sunnyside,Carbon
84540,Thompson,Grand
84542,Wellington,Carbon
84601,Provo,UT
84602,Provo (BYU),UT
84603,Provo,UT
84604,Provo,UT
84605,Provo,UT
84606,Provo (south of BYU),UT
84620,Aurora,Sevier
84621,Axtell,Sanpete
84622,Centerfield,Sanpete
84623,Chester,Sanpete
84624,Delta,Millard
84626,Elberta,UT
84627,Ephraim,Sanpete
84628,Eureka,Juab
84629,Fairview,Sanpete
84630,Fayette,Sanpete
84631,Fillmore,Millard
84632,Fountain Green,Sanpete
84633,Goshen,UT
84634,Gunnison,Sanpete
84635,Hinckley,Millard
84636,Holden,Millard
84637,Kanosh,Millard
84638,Leamington,Millard
84639,Levan,Juab
84640,Lynndyl,Millard
84642,Manti,Sanpete
84643,Mayfield,Sanpete
84644,Meadow,Millard
84645,Mona,Juab
84646,Moroni,Sanpete
84647,Mount Pleasant,Sanpete
84648,Nephi,Juab
84649,Oak City,Millard
84651,Payson,UT
84652,Redmond,Sevier
84653,Salem,UT
84654,Salina,Sevier
84655,Santaquin,UT
84656,Scipio,Millard
84657,Sigurd,Sevier
84660,Spanish Fork,UT
84662,Spring City,Sanpete
84663,Springville,UT
84664,Mapleton,UT
84665,Sterling,Sanpete
84667,Wales,Sanpete
84701,Richfield,Sevier
84710,Alton,Kane
84711,Annabella,Sevier
84712,Antimony,Garfield
84713,Beaver,Beaver
84714,BEyl,Iron
84715,Bicknell,Wayne
84716,Boulder,Garfield
84718,Cannonville,Garfield
84719,Brian Head,Iron
84720,Cedar City,Iron
84721,Cedar City,Iron
84722,Central,Washington
84723,Circleville,Piute
84724,Elsinore,Sevier
84725,Enterprise,Washington
84726,Escalante,Garfield
84728,Garrison,Millard
84729,Glendale,Kane
84730,Glenwood,Sevier
84731,Greenville,Beaver
84732,Greenwich,Piute
84733,Gunlock,Washington
84734,Hanksville,Wayne
84735,Hatch,Garfield
84736,Henrieville,Garfield
84737,Hurricane,Washington
84738,Ivins,Washington
84739,Joseph,Sevier
84740,Junction,Piute
84741,Kanab,Kane
84742,Kanarraville,Iron
84743,Kingston,Piute
84744,Koosharem,Sevier
84745,La Verkin,Washington
84746,Leeds,Washington
84747,Loa,Wayne
84749,Lyman,Wayne
84750,Marysvale,Piute
84751,Milford,Beaver
84752,Minersville,Beaver
84753,Modena,Iron
84754,Monroe,Sevier
84755,Mount Carmel,Kane
84756,Newcastle,Iron
84757,New Harmony,Washington
84758,Orderville,Kane
84759,Panguitch,Garfield
84760,Paragonah,Iron
84761,Parowan,Iron
84762,Duck Creek Village,Kane
84763,Rockville,Washington
84764,Bryce,Garfield
84765,Santa Clara,Washington
84766,Sevier,Sevier
84767,Springdale,Washington
84770,Saint George,Washington
84771,Saint George,Washington
84772,Summit,Iron
84773,Teasdale,Wayne
84774,Toquerville,Washington
84775,Torrey,Wayne
84776,Tropic,Garfield
84779,Virgin,Washington
84780,Washington,Washington
84781,Pine Valley,Washington
84782,Veyo,Washington
84783,Dammeron Valley,Washington
84784,Hildale,Washington
84790,Saint George,Washington
84791,Saint George,Washington